ID_Orden,ID_Equipo,Fecha,Tipo_Mantenimiento,Costo_Mantenimiento,Duracion_Horas,Ubicacion,Frecuencia_Correctivo,Frecuencia_Preventivo
115,316,2020-01-05 18:00:00,Preventivo,6659.8,19,Planta Norte,8,6
116,19,2020-01-05 19:00:00,Correctivo,1561.0,10,Planta Norte,13,10
117,392,2020-01-05 20:00:00,Correctivo,7203.78,10,Planta Sur,6,10
118,301,2020-01-05 21:00:00,Correctivo,3826.74,31,Planta Norte,13,11
119,115,2020-01-05 22:00:00,Correctivo,2787.1,35,Planta Oeste,14,5
120,482,2020-01-05 23:00:00,Preventivo,2490.24,23,Planta Sur,6,10
121,357,2020-01-06 00:00:00,Preventivo,682.86,6,Planta Sur,12,10
122,388,2020-01-06 01:00:00,Correctivo,3957.19,44,Planta Sur,8,9
123,428,2020-01-06 02:00:00,Correctivo,5867.89,17,Planta Oeste,17,10
124,309,2020-01-06 03:00:00,Preventivo,3322.94,16,Planta Norte,10,13
125,109,2020-01-06 04:00:00,Correctivo,9171.36,8,Planta Sur,10,11
126,45,2020-01-06 05:00:00,Correctivo,9019.73,2,Planta Oeste,10,10
127,487,2020-01-06 06:00:00,Preventivo,7405.06,41,Planta Norte,11,12
128,125,2020-01-06 07:00:00,Preventivo,292.02,14,Planta Este,5,15
129,360,2020-01-06 08:00:00,Preventivo,3024.85,27,Planta Sur,11,14
130,271,2020-01-06 09:00:00,Correctivo,4818.51,32,Planta Sur,11,5
131,481,2020-01-06 10:00:00,Correctivo,1926.25,43,Planta Este,4,9
132,3,2020-01-06 11:00:00,Preventivo,3130.98,34,Planta Oeste,10,6
133,248,2020-01-06 12:00:00,Preventivo,7451.63,13,Planta Este,11,10
134,477,2020-01-06 13:00:00,Preventivo,5561.81,19,Planta Este,9,15
135,44,2020-01-06 14:00:00,Preventivo,4167.5,31,Planta Sur,5,10
136,93,2020-01-06 15:00:00,Correctivo,7417.78,27,Planta Oeste,9,11
137,471,2020-01-06 16:00:00,Preventivo,4510.54,10,Planta Oeste,18,5
138,47,2020-01-06 17:00:00,Preventivo,8728.58,16,Planta Este,7,8
139,238,2020-01-06 18:00:00,Correctivo,2096.22,30,Planta Norte,8,14
140,278,2020-01-06 19:00:00,Preventivo,7855.3,20,Planta Oeste,8,14
141,309,2020-01-06 20:00:00,Correctivo,8886.86,24,Planta Norte,10,13
142,305,2020-01-06 21:00:00,Preventivo,1250.06,47,Planta Este,9,10
143,226,2020-01-06 22:00:00,Correctivo,308.86,10,Planta Sur,10,6
144,165,2020-01-06 23:00:00,Correctivo,5164.79,17,Planta Oeste,6,6
145,215,2020-01-07 00:00:00,Correctivo,2106.49,8,Planta Oeste,12,14
146,286,2020-01-07 01:00:00,Preventivo,6941.67,39,Planta Sur,14,10
147,302,2020-01-07 02:00:00,Correctivo,2841.06,47,Planta Norte,13,5
148,396,2020-01-07 03:00:00,Correctivo,4575.62,35,Planta Norte,13,3
149,251,2020-01-07 04:00:00,Preventivo,4190.69,10,Planta Este,8,11
150,107,2020-01-07 05:00:00,Preventivo,5051.21,39,Planta Oeste,16,14
151,162,2020-01-07 06:00:00,Preventivo,5827.23,31,Planta Este,6,11
152,378,2020-01-07 07:00:00,Correctivo,4360.37,6,Planta Oeste,11,12
153,465,2020-01-07 08:00:00,Preventivo,1963.75,45,Planta Este,15,11
154,361,2020-01-07 09:00:00,Preventivo,4529.44,28,Planta Norte,8,10
155,397,2020-01-07 10:00:00,Preventivo,2344.22,24,Planta Oeste,15,14
156,141,2020-01-07 11:00:00,Preventivo,8904.87,22,Planta Sur,19,14
157,141,2020-01-07 12:00:00,Correctivo,7398.38,37,Planta Este,19,14
158,220,2020-01-07 13:00:00,Preventivo,5242.38,47,Planta Sur,11,14
159,324,2020-01-07 14:00:00,Preventivo,4019.12,15,Planta Este,8,13
160,334,2020-01-07 15:00:00,Correctivo,8703.81,43,Planta Este,12,16
161,261,2020-01-07 16:00:00,Preventivo,8476.87,2,Planta Norte,9,5
162,442,2020-01-07 17:00:00,Preventivo,501.0,24,Planta Norte,14,10
163,90,2020-01-07 18:00:00,Preventivo,507.97,6,Planta Este,11,7
164,454,2020-01-07 19:00:00,Correctivo,2462.47,14,Planta Norte,7,5
165,417,2020-01-07 20:00:00,Preventivo,2280.37,13,Planta Oeste,5,8
166,13,2020-01-07 21:00:00,Preventivo,1717.14,43,Planta Oeste,8,10
167,394,2020-01-07 22:00:00,Correctivo,8495.64,12,Planta Sur,14,12
168,200,2020-01-07 23:00:00,Preventivo,6474.09,28,Planta Este,5,12
169,2,2020-01-08 00:00:00,Correctivo,7265.9,18,Planta Oeste,7,6
170,395,2020-01-08 01:00:00,Correctivo,7101.47,28,Planta Este,8,13
171,221,2020-01-08 02:00:00,Preventivo,3257.75,12,Planta Oeste,9,9
172,377,2020-01-08 03:00:00,Correctivo,2820.41,23,Planta Sur,11,7
173,427,2020-01-08 04:00:00,Correctivo,3242.8,15,Planta Oeste,15,10
174,141,2020-01-08 05:00:00,Correctivo,6718.59,35,Planta Este,19,14
175,468,2020-01-08 06:00:00,Preventivo,6855.06,40,Planta Oeste,7,8
176,492,2020-01-08 07:00:00,Preventivo,1543.28,17,Planta Oeste,14,9
177,405,2020-01-08 08:00:00,Preventivo,1941.5,11,Planta Norte,12,10
178,89,2020-01-08 09:00:00,Correctivo,6221.54,26,Planta Sur,19,8
179,363,2020-01-08 10:00:00,Preventivo,5028.75,17,Planta Oeste,11,6
180,389,2020-01-08 11:00:00,Correctivo,7072.55,41,Planta Sur,13,11
181,181,2020-01-08 12:00:00,Correctivo,5287.4,3,Planta Este,12,7
182,435,2020-01-08 13:00:00,Preventivo,2638.25,25,Planta Este,10,6
183,36,2020-01-08 14:00:00,Preventivo,6598.43,40,Planta Norte,10,9
184,190,2020-01-08 15:00:00,Preventivo,9796.24,13,Planta Norte,14,5
185,298,2020-01-08 16:00:00,Preventivo,3306.66,45,Planta Norte,9,15
186,143,2020-01-08 17:00:00,Correctivo,9374.21,20,Planta Sur,7,16
187,382,2020-01-08 18:00:00,Preventivo,3464.32,20,Planta Este,9,6
188,81,2020-01-08 19:00:00,Preventivo,1030.9,1,Planta Sur,10,11
189,372,2020-01-08 20:00:00,Correctivo,9952.91,26,Planta Este,15,9
190,457,2020-01-08 21:00:00,Correctivo,2382.34,30,Planta Norte,10,14
191,180,2020-01-08 22:00:00,Correctivo,8133.97,8,Planta Norte,10,9
192,64,2020-01-08 23:00:00,Correctivo,4233.71,26,Planta Sur,18,10
193,79,2020-01-09 00:00:00,Correctivo,3928.74,5,Planta Sur,15,12
194,302,2020-01-09 01:00:00,Correctivo,1971.57,24,Planta Oeste,13,5
195,293,2020-01-09 02:00:00,Correctivo,1659.02,10,Planta Este,14,9
196,476,2020-01-09 03:00:00,Preventivo,6677.8,1,Planta Sur,6,16
197,113,2020-01-09 04:00:00,Correctivo,6546.17,19,Planta Norte,12,12
198,457,2020-01-09 05:00:00,Preventivo,1430.74,42,Planta Sur,10,14
199,491,2020-01-09 06:00:00,Preventivo,1165.8,14,Planta Norte,13,6
200,219,2020-01-09 07:00:00,Correctivo,4417.07,36,Planta Sur,13,5
201,409,2020-01-09 08:00:00,Preventivo,8417.53,2,Planta Sur,13,11
202,80,2020-01-09 09:00:00,Correctivo,8133.56,40,Planta Sur,12,11
203,433,2020-01-09 10:00:00,Preventivo,5544.29,1,Planta Este,15,11
204,278,2020-01-09 11:00:00,Correctivo,5010.02,10,Planta Este,8,14
205,212,2020-01-09 12:00:00,Preventivo,1795.03,46,Planta Oeste,11,8
206,22,2020-01-09 13:00:00,Correctivo,9233.62,34,Planta Sur,13,11
207,85,2020-01-09 14:00:00,Correctivo,5530.05,14,Planta Sur,10,13
208,393,2020-01-09 15:00:00,Correctivo,2234.81,33,Planta Oeste,17,9
209,467,2020-01-09 16:00:00,Correctivo,5742.84,24,Planta Norte,14,8
210,155,2020-01-09 17:00:00,Preventivo,4324.3,31,Planta Norte,4,10
211,459,2020-01-09 18:00:00,Correctivo,2793.85,4,Planta Norte,11,8
212,13,2020-01-09 19:00:00,Correctivo,3393.43,28,Planta Oeste,8,10
213,134,2020-01-09 20:00:00,Correctivo,3967.04,17,Planta Norte,11,19
214,461,2020-01-09 21:00:00,Correctivo,6038.62,17,Planta Este,9,7
215,164,2020-01-09 22:00:00,Preventivo,6472.79,21,Planta Este,16,12
216,408,2020-01-09 23:00:00,Preventivo,7283.58,32,Planta Norte,8,17
217,185,2020-01-10 00:00:00,Preventivo,8888.28,15,Planta Este,7,11
218,186,2020-01-10 01:00:00,Preventivo,9619.83,35,Planta Oeste,8,12
219,319,2020-01-10 02:00:00,Preventivo,1911.61,10,Planta Norte,15,17
220,85,2020-01-10 03:00:00,Preventivo,9315.59,47,Planta Norte,10,13
221,291,2020-01-10 04:00:00,Correctivo,9198.83,15,Planta Oeste,9,15
222,333,2020-01-10 05:00:00,Preventivo,2670.86,21,Planta Sur,8,8
223,490,2020-01-10 06:00:00,Preventivo,8712.1,17,Planta Sur,4,10
224,240,2020-01-10 07:00:00,Correctivo,2153.44,37,Planta Sur,15,6
225,59,2020-01-10 08:00:00,Correctivo,7783.73,43,Planta Sur,20,9
226,442,2020-01-10 09:00:00,Correctivo,5195.51,38,Planta Este,14,10
227,421,2020-01-10 10:00:00,Preventivo,6836.96,10,Planta Este,14,16
228,496,2020-01-10 11:00:00,Correctivo,761.59,13,Planta Este,10,11
229,464,2020-01-10 12:00:00,Correctivo,9653.4,25,Planta Oeste,13,8
230,283,2020-01-10 13:00:00,Preventivo,5390.32,13,Planta Sur,13,18
231,86,2020-01-10 14:00:00,Correctivo,1105.62,3,Planta Norte,8,9
232,377,2020-01-10 15:00:00,Correctivo,7342.47,15,Planta Sur,11,7
233,172,2020-01-10 16:00:00,Correctivo,3210.75,31,Planta Sur,21,15
234,498,2020-01-10 17:00:00,Preventivo,7547.1,45,Planta Este,10,11
235,205,2020-01-10 18:00:00,Correctivo,2827.92,15,Planta Oeste,7,8
236,429,2020-01-10 19:00:00,Correctivo,2588.31,13,Planta Norte,12,8
237,382,2020-01-10 20:00:00,Preventivo,1197.96,34,Planta Norte,9,6
238,245,2020-01-10 21:00:00,Preventivo,353.09,24,Planta Sur,14,9
239,244,2020-01-10 22:00:00,Correctivo,6341.78,33,Planta Norte,5,11
240,95,2020-01-10 23:00:00,Correctivo,952.13,47,Planta Norte,13,7
241,26,2020-01-11 00:00:00,Correctivo,4112.55,11,Planta Este,10,10
242,61,2020-01-11 01:00:00,Correctivo,2946.08,3,Planta Este,11,7
243,384,2020-01-11 02:00:00,Correctivo,709.94,45,Planta Sur,10,14
244,231,2020-01-11 03:00:00,Preventivo,8947.48,22,Planta Oeste,14,6
245,327,2020-01-11 04:00:00,Correctivo,7225.86,28,Planta Oeste,10,11
246,19,2020-01-11 05:00:00,Preventivo,420.87,5,Planta Este,13,10
247,368,2020-01-11 06:00:00,Correctivo,9562.64,28,Planta Norte,12,9
248,367,2020-01-11 07:00:00,Preventivo,7518.8,7,Planta Sur,8,11
249,448,2020-01-11 08:00:00,Preventivo,9888.65,5,Planta Norte,5,13
250,88,2020-01-11 09:00:00,Correctivo,9994.63,33,Planta Norte,11,10
251,349,2020-01-11 10:00:00,Correctivo,2064.02,37,Planta Sur,8,11
252,246,2020-01-11 11:00:00,Preventivo,4660.51,21,Planta Sur,10,6
253,130,2020-01-11 12:00:00,Preventivo,2702.6,26,Planta Sur,14,18
254,219,2020-01-11 13:00:00,Correctivo,9909.17,20,Planta Oeste,13,5
255,329,2020-01-11 14:00:00,Preventivo,2288.11,15,Planta Sur,12,12
256,264,2020-01-11 15:00:00,Preventivo,1610.91,8,Planta Norte,9,10
257,179,2020-01-11 16:00:00,Preventivo,9002.26,23,Planta Oeste,11,14
258,358,2020-01-11 17:00:00,Correctivo,2072.05,16,Planta Sur,13,6
259,27,2020-01-11 18:00:00,Preventivo,1427.59,47,Planta Norte,1,12
260,191,2020-01-11 19:00:00,Preventivo,5245.13,31,Planta Norte,9,10
261,104,2020-01-11 20:00:00,Preventivo,9405.95,30,Planta Sur,15,10
262,284,2020-01-11 21:00:00,Preventivo,2095.63,47,Planta Oeste,17,14
263,30,2020-01-11 22:00:00,Correctivo,4761.68,41,Planta Sur,11,13
264,315,2020-01-11 23:00:00,Correctivo,5697.86,28,Planta Sur,12,13
265,343,2020-01-12 00:00:00,Correctivo,1941.86,32,Planta Oeste,15,13
266,252,2020-01-12 01:00:00,Preventivo,5828.04,12,Planta Este,7,13
267,483,2020-01-12 02:00:00,Correctivo,4950.57,20,Planta Norte,18,12
268,303,2020-01-12 03:00:00,Correctivo,2378.13,31,Planta Oeste,12,13
269,398,2020-01-12 04:00:00,Correctivo,4906.35,33,Planta Sur,13,3
270,74,2020-01-12 05:00:00,Correctivo,8468.11,45,Planta Sur,12,9
271,322,2020-01-12 06:00:00,Preventivo,481.45,42,Planta Sur,8,7
272,11,2020-01-12 07:00:00,Preventivo,7578.38,12,Planta Oeste,9,10
273,196,2020-01-12 08:00:00,Preventivo,4009.19,29,Planta Norte,11,13
274,259,2020-01-12 09:00:00,Correctivo,4482.66,12,Planta Oeste,14,11
275,315,2020-01-12 10:00:00,Preventivo,7307.71,33,Planta Norte,12,13
276,464,2020-01-12 11:00:00,Preventivo,7806.94,18,Planta Oeste,13,8
277,89,2020-01-12 12:00:00,Preventivo,3820.24,36,Planta Este,19,8
278,35,2020-01-12 13:00:00,Preventivo,4418.22,10,Planta Sur,10,6
279,497,2020-01-12 14:00:00,Preventivo,5620.81,16,Planta Sur,11,11
280,53,2020-01-12 15:00:00,Correctivo,8647.5,40,Planta Sur,12,12
281,239,2020-01-12 16:00:00,Preventivo,3179.64,36,Planta Oeste,10,9
282,172,2020-01-12 17:00:00,Preventivo,2070.3,2,Planta Este,21,15
283,339,2020-01-12 18:00:00,Correctivo,2470.17,15,Planta Norte,7,11
284,376,2020-01-12 19:00:00,Preventivo,1748.23,3,Planta Sur,12,15
285,334,2020-01-12 20:00:00,Preventivo,2460.84,2,Planta Sur,12,16
286,351,2020-01-12 21:00:00,Correctivo,8326.95,19,Planta Sur,11,7
287,442,2020-01-12 22:00:00,Correctivo,3539.88,30,Planta Este,14,10
288,344,2020-01-12 23:00:00,Correctivo,1004.06,41,Planta Norte,14,12
289,343,2020-01-13 00:00:00,Preventivo,4524.5,4,Planta Oeste,15,13
290,423,2020-01-13 01:00:00,Preventivo,6102.75,34,Planta Oeste,11,13
291,191,2020-01-13 02:00:00,Preventivo,2743.97,12,Planta Norte,9,10
292,416,2020-01-13 03:00:00,Correctivo,7782.43,36,Planta Oeste,8,16
293,167,2020-01-13 04:00:00,Preventivo,9351.98,37,Planta Oeste,14,5
294,64,2020-01-13 05:00:00,Preventivo,3115.32,15,Planta Sur,18,10
295,336,2020-01-13 06:00:00,Correctivo,7473.17,18,Planta Sur,8,13
296,243,2020-01-13 07:00:00,Preventivo,1225.65,31,Planta Oeste,5,9
297,460,2020-01-13 08:00:00,Correctivo,4556.15,1,Planta Sur,13,9
298,307,2020-01-13 09:00:00,Correctivo,5667.9,43,Planta Sur,12,6
299,384,2020-01-13 10:00:00,Preventivo,5616.72,35,Planta Oeste,10,14
300,119,2020-01-13 11:00:00,Preventivo,6863.27,8,Planta Norte,14,10
301,337,2020-01-13 12:00:00,Correctivo,3510.59,37,Planta Sur,13,11
302,319,2020-01-13 13:00:00,Correctivo,1883.32,7,Planta Oeste,15,17
303,30,2020-01-13 14:00:00,Preventivo,2515.04,21,Planta Sur,11,13
304,465,2020-01-13 15:00:00,Correctivo,5250.68,17,Planta Norte,15,11
305,269,2020-01-13 16:00:00,Correctivo,6862.48,47,Planta Sur,14,8
306,162,2020-01-13 17:00:00,Preventivo,8807.89,10,Planta Este,6,11
307,356,2020-01-13 18:00:00,Preventivo,2562.51,39,Planta Oeste,15,14
308,368,2020-01-13 19:00:00,Correctivo,6547.23,30,Planta Sur,12,9
309,318,2020-01-13 20:00:00,Preventivo,8859.25,20,Planta Sur,6,12
310,342,2020-01-13 21:00:00,Preventivo,3101.01,40,Planta Norte,6,12
311,150,2020-01-13 22:00:00,Preventivo,2179.43,15,Planta Norte,8,10
312,123,2020-01-13 23:00:00,Preventivo,4157.58,36,Planta Sur,10,18
313,45,2020-01-14 00:00:00,Correctivo,6566.09,47,Planta Oeste,10,10
314,499,2020-01-14 01:00:00,Preventivo,5444.47,44,Planta Norte,4,12
315,360,2020-01-14 02:00:00,Correctivo,3753.65,45,Planta Norte,11,14
316,321,2020-01-14 03:00:00,Preventivo,607.21,39,Planta Norte,9,12
317,129,2020-01-14 04:00:00,Preventivo,4523.1,39,Planta Oeste,10,12
318,328,2020-01-14 05:00:00,Correctivo,7222.45,46,Planta Oeste,13,7
319,488,2020-01-14 06:00:00,Preventivo,1679.93,38,Planta Oeste,11,23
320,8,2020-01-14 07:00:00,Correctivo,8698.93,24,Planta Norte,16,11
321,276,2020-01-14 08:00:00,Correctivo,825.05,6,Planta Sur,11,5
322,189,2020-01-14 09:00:00,Correctivo,1644.73,29,Planta Sur,7,7
323,283,2020-01-14 10:00:00,Preventivo,2452.29,43,Planta Este,13,18
324,185,2020-01-14 11:00:00,Preventivo,4636.14,18,Planta Sur,7,11
325,300,2020-01-14 12:00:00,Correctivo,6899.79,13,Planta Sur,12,4
326,160,2020-01-14 13:00:00,Preventivo,2803.06,47,Planta Norte,12,9
327,272,2020-01-14 14:00:00,Preventivo,665.22,26,Planta Este,8,5
328,455,2020-01-14 15:00:00,Preventivo,1965.93,10,Planta Sur,15,7
329,372,2020-01-14 16:00:00,Correctivo,7908.46,23,Planta Sur,15,9
330,146,2020-01-14 17:00:00,Preventivo,3925.84,43,Planta Este,16,7
331,383,2020-01-14 18:00:00,Correctivo,6449.83,31,Planta Norte,7,10
332,200,2020-01-14 19:00:00,Preventivo,6070.69,3,Planta Este,5,12
333,454,2020-01-14 20:00:00,Preventivo,6359.19,9,Planta Este,7,5
334,357,2020-01-14 21:00:00,Preventivo,2991.82,28,Planta Este,12,10
335,445,2020-01-14 22:00:00,Preventivo,270.64,13,Planta Oeste,8,12
336,56,2020-01-14 23:00:00,Preventivo,9341.52,17,Planta Norte,8,8
337,223,2020-01-15 00:00:00,Correctivo,6252.15,22,Planta Oeste,11,11
